corporate_name_S2,revenue,profit,main_customers
Green-Scott.,4736452.8,819205.0782277676,"Young and Sons,Christensen, Le and Woods,Bean LLC"
"Fox, Brandt and Garrett.",1564962.78,240005.18277713182,"Baker Ltd,Wong, Gregory and King,Jackson, Cantu and Wilson"
"Coleman, Washington and Green.",4019860.66,-302895.43569479656,"Bowen, Wright and Dennis"
Kelly-Gomez,1762792.6,-114243.36551004232,Thompson PLC
Adams-Ward.,1043636.27,59689.7374066105,"Mcgee-Matthews,Phillips and Sons"
BENNETT GROUP,1868217.99,-134687.90251634785,"Rasmussen, Hurst and Bauer,Hall-Petersen"
"Harvey, Conley and Chapman.",4036897.86,199247.90636561677,"Garcia, Martin and Holland,Estrada Inc,Blevins PLC"
Lucas and Sons.,3415217.98,126314.73579350546,"Cobb-Griffith,Hammond Inc,Rice, Smith and Edwards"
SANDOVAL GROUP,259511.71,76449.28478150752,"Kelly-Ballard,Richardson-Sutton"
NORRIS-WRIGHT,3783768.83,264706.29959994246,King-Torres
Elliott Inc.,1297861.83,132665.2071919723,"Evans, Coffey and Delgado,Munoz-Martinez"
SOTO-HUFF,1676670.39,342242.0816074576,Thomas PLC
"Peters, Mclean and Herring",4279321.69,-174565.76181838897,Little LLC
COLLINS-MORROW,1586866.16,-105262.96510047435,"Roberts, Wall and Smith"
Sampson Inc,470577.78,167224.26698682283,"Perez, Payne and Pennington,Odom, Clark and Johnson,Livingston, Phillips and Cook"
Mercer and Sons,550655.78,107050.21658730914,"Jensen, Peters and Adams,Clayton and Sons"
Price-Smith.,4654318.79,1622647.667685511,"Lopez Inc,Patterson PLC"
LEONARD INC,831473.23,1617.6087094963634,"Hinton-Bentley,Bennett-White"
"KIM, KNIGHT AND WRIGHT",3485207.13,922702.0155943527,"Gonzalez-Cole,Jones PLC,Mccann-Harper"
Lutz LLC,1848793.97,59833.53640432794,"Mcclain and Sons,Nichols-Allen,Hill-Simmons"
Kidd Ltd,2522278.82,855872.1999534579,"Vazquez-Cruz,Jones-Lewis"
Williams-Lewis.,1534460.38,128455.22702332461,"Rose-Miller,Cunningham-Graham,Christian, Edwards and Thomas"
"Perry, Mullins and Garcia",4673927.27,1833874.9244631564,"Chavez, Morales and Hill,Weiss-Phelps"
"Boyle, Burgess and Cooper",1222052.06,57112.49835716978,"Palmer-Collins,Lawrence Inc,Carney, Rojas and Brown"
"JACOBS, GREEN AND GROSS",4164694.12,705699.0059507618,"Krause Group,Miller-Jones,Jones-Snyder"
"COLLIER, JACKSON AND RICHARD",4235506.46,861376.0611115088,"Shepherd-Atkins,Robles and Sons"
Woods-Dodson,175668.7,35913.77824547302,Rojas Group
COLLINS GROUP,3124403.51,45986.93429092936,Dawson Ltd
"Miller, Cain and Clark",2578364.06,664129.0643362234,"Bailey, Carter and Cole,Davidson, Smith and Adams"
Stone-Braun,4214375.24,306259.44626082,"Evans, Martin and Costa"
Navarro Ltd.,1315647.28,149653.2182385084,"Porter-Munoz,Miller Ltd,Marquez, Miller and Macias"
WRIGHT INC,3525838.25,621377.9811970001,Patrick-Cross
HUDSON-MARTIN,2687788.05,1021823.08748131,"Rhodes, Rivas and Perez,Thomas-Brown,Jones-Hunt"
Fuentes-Smith,4425148.1,1248631.1559030078,"Ray-Lewis,Bruce-Lane,Sanchez, Hughes and Foster"
LEWIS-CAMPOS,2401912.97,89160.03050956537,"Mcdaniel-Williams,White, Cunningham and Hunt"
"JENKINS, KEMP AND CARROLL",456813.17,120804.103342529,"Preston PLC,Anderson, Foster and Martinez,Ray, Stone and Holmes"
HALL AND SONS,2788167.84,36781.73301179178,"Johnson-Ayala,Reed-Jones"
Morrow PLC,763229.9,-33303.68309159181,"Fuentes-Castillo,Stuart-Garner,Lawrence-Castro"
Wiggins-Lewis,4719070.29,864961.327186309,Davis and Sons
Schneider PLC,933720.23,-11331.093100130414,Young-Hunt
KELLY LLC,2175512.9,-92878.8126603481,"Mccormick, Rivera and Donovan"
"Stout, Jordan and Davis.",3577181.12,-140041.79665185415,"Taylor Ltd,Shelton, Dixon and Kelly,Tucker Ltd"
HARRISON INC,473772.97,-32758.599736875643,"Hickman, Schneider and Alexander,Harrell PLC,Jones, Andrews and Morgan"
COLLINS LTD,1227403.44,456229.139323087,"Perez LLC,Spencer, Rangel and Hull,Trevino PLC"
BEASLEY-BURNETT,4333109.3,842143.2443246057,"Harris-Mata,Hobbs-Hall,Scott-Sanchez"
"Lyons, Ware and Johnson",2290649.88,631757.6020398361,"Rice, Myers and Carter"
OBRIEN AND SONS,107530.35,26292.87002476188,"Mendez PLC,Stafford-Taylor"
"SCOTT, GIBSON AND BUCHANAN",75079.14,16791.63119722951,"Elliott PLC,Fuentes LLC"
"BROWN, JOHNSON AND MATHIS",1626415.74,161684.6566351063,"Wright and Sons,Washington, Kennedy and Singh,Conley Ltd"
Brown-Saunders,1842748.42,333259.06057890697,Tucker-Melton
WILLIS-WARE,712725.29,119130.5471023479,"Lambert Inc,Martin-Adkins,Murphy and Sons"
MCCALL-STEVENSON,2300975.54,-212349.40229264915,"Conrad, Yates and Conway"
Cunningham-Davis,2367667.33,941155.466592872,"Smith and Sons,Peters-Dudley,Rodriguez Inc"
HILL AND SONS,4016225.24,459364.4290918596,"Webster LLC,Raymond Group"
Morris Group,3469135.16,63741.10701263599,"Jimenez, Schaefer and Copeland"
Clements-Jacobs.,2278215.12,869585.8973364487,"Smith-Barker,Taylor and Sons,Hamilton and Sons"
"Wheeler, Fernandez and James",3807651.62,1485743.567995371,"Jacobs Group,Reed, King and Ritter,Adkins-Gonzalez"
KELLEY-LEE,4787111.19,623690.3240067017,"Valdez, Moses and Guzman,English PLC"
DANIELS GROUP,1491021.32,299787.1172627947,Zimmerman LLC
Garcia-Perkins,1408851.1,287794.2358653656,"Brown, Ramirez and Carrillo,Jenkins Group,Richardson-Brown"
SMALL GROUP,713157.24,264946.8756986333,"Phillips, Woods and Cabrera,Lewis and Sons"
MEYER AND SONS,3538593.42,1407835.2337962512,"Hughes, Hayes and Bowers,Day-Bryant"
RUIZ AND SONS,2435671.76,773335.9204942614,"Lambert-Young,Abbott, Harris and James"
Warner-Williams,640379.39,214412.9495199823,"Meyers, Smith and Burns,Reynolds, Garza and Ferrell"
"Graham, Taylor and Cook",3164270.14,30942.277868862962,"Cruz-Vasquez,Norton PLC,Thomas-Thomas"
MEDINA-GONZALEZ,866668.58,271822.28249421506,"White-Fowler,Velez, Terry and Howard"
"Pitts, Edwards and Levy.",4438246.57,1521162.0005031636,"Neal PLC,Wood, Gentry and Cole"
"Hines, Reyes and White",812979.64,25128.21084632103,"Brown, Johnson and Cooper,Bryant, Robinson and Moreno"
TURNER AND SONS,1953535.51,716908.8420677421,"Carson, Farley and Li,Graham Group"
Tapia-Holmes,466419.44,87304.61165231922,Jackson PLC
"SANDERS, SMITH AND MARTINEZ",3740182.35,-292445.61802689306,"Harris-Burnett,Carter PLC"
Johnson-Crawford,228812.23,30017.356493091767,"Gibson-Butler,Rodriguez, Taylor and Smith"
"HENRY, WARD AND HENRY",2424495.84,855908.802229924,"Bradshaw LLC,Robinson-Johnson,Anderson-Preston"
"TAYLOR, FISHER AND HORTON",3559768.76,888388.0693960023,Jordan Group
PATTON-LEONARD,2781111.26,18547.98947234508,"Koch LLC,Miller-Palmer"
RODGERS-GREEN,2366364.8,-99899.54047966196,"Moore, Michael and Brooks,Gomez, Williams and Stone,Miller-Small"
LIVINGSTON-SCHROEDER,1765457.09,319089.0153143334,"Watson, Nguyen and Davis,Charles and Sons,Trevino LLC"
MALDONADO-RODRIGUEZ,4463085.29,29759.29989316084,"Sullivan-Griffin,Fuentes, Burton and Wright,Miller PLC"
Martin LLC,1693601.59,608338.5097743092,"Jenkins-Mcmillan,Perez and Sons"
CHANDLER LLC,2732893.4,-220110.2502846814,"Reid, Martin and Huber,Young and Sons"
GOODMAN GROUP,3591561.52,92250.9247891619,"Wells-Martinez,West-Walker"
JOHNSON-VILLARREAL,892614.94,267874.6056722487,"Robertson and Sons,Miller Inc"
GARRETT-DOUGLAS,4083358.98,1484325.4560392944,"Thompson-Williams,Mckenzie-Little,Taylor Inc"
"Barnes, Davis and Dennis.",409507.51,155801.41826264653,Petersen-Kelly
Benson-Anderson,2708802.34,180550.47699216518,"Sanders Group,Rowe, Woodard and Hodges"
"Smith, Thompson and Henry",3333751.24,666897.6178692852,Shepard-Martinez
HERNANDEZ PLC,4712723.1,1135712.4552806844,Gomez-Cruz
"CAMPBELL, HAYES AND MURPHY",3108702.72,1118165.0134212142,"Tanner-Baird,Mejia, Gillespie and Mendoza"
Peters-Hopkins,3337638.39,-29636.753187765516,"Sims, Wagner and Martin,Schmidt PLC"
"SCOTT, LONG AND KIM",4064155.56,1461008.768503986,Garcia Ltd
"Lopez, Smith and Hill",4533462.94,333265.11195129494,"Gonzalez-Banks,Young LLC,Gonzales and Sons"
"Chen, Smith and Barnes.",169633.2,6999.02761855276,"Hicks Ltd,Davis, Kelley and Williams"
JENKINS-HUNTER,1775789.23,482271.9737537839,"Quinn Group,Hendrix, Hayes and Becker,Turner, Silva and Jones"
"ROSALES, LONG AND CRUZ",4787389.19,1010236.5377999232,"Carpenter and Sons,Smith, Garcia and Figueroa"
"Snyder, Weiss and Fitzgerald",1394396.41,-51553.270754493744,Howe-Lawrence
"Murphy, Bond and Medina.",331403.23,56796.0624107717,"Fitzpatrick-Ross,Wright, Sparks and Jackson,Baker, Shaw and Brown"
"CASTRO, WILLIAMS AND WOODS",2731762.36,199566.40514594084,Morales Ltd
NEWMAN LTD,1945732.51,-162217.99227393954,"Marshall and Sons,Lee-Lee"
MONTOYA GROUP,4570895.78,1426685.8262442206,Townsend PLC
HAMILTON GROUP,1321211.99,382024.42568346544,"Wilson, Greer and Warner"
"Nichols, Vasquez and Johns",3314439.67,613628.7290975958,"Salas, Harper and Montoya,Rivera, Hernandez and Smith"
Lopez-Peterson,112350.86,10821.101519046675,"Stewart, Cline and Chen,Walker Inc"
THOMPSON LTD,811793.76,60047.91733886361,Barber and Sons
MILLER-SHAW,1282968.32,448297.3223041139,"Wolfe, Massey and Frye"
ANDERSON LLC,2914743.64,623370.8866656309,"Lee, Webb and Ayala,Griffin, Kelly and Larson,Reed-Mccarthy"
"CONNER, THOMAS AND VELASQUEZ",1661839.6,-87039.75614510184,Pierce-Brooks
Johnson and Sons.,4196262.01,-322283.7277697401,Ferrell and Sons
"LARA, JACKSON AND BERRY",1273851.55,-118503.54807016463,Ball-Hernandez
GONZALEZ PLC,689044.6,250646.30907279375,"Foley, Hayes and Campbell,Sanders, Wright and Riley"
Ford-Harrison.,1623155.33,296707.64798012446,Mendoza-Duncan
"Hawkins, Moore and Simmons.",1565307.5,152806.36329037804,"Greene, Dixon and Terrell"
Wolf Ltd,4424874.02,-129504.33169195392,"Roberson-Williams,Parrish Group"
FRAZIER-ROBINSON,4916683.79,1696079.2326131465,"Ryan-Torres,Stewart-Giles,Ingram PLC"
BREWER-CLARKE,463262.21,33413.30804546766,"Suarez, Phillips and Williams"
"SHEPPARD, CALHOUN AND CARTER",3505115.95,-55646.36165429361,"Lawrence, Hawkins and Blevins,Harris-Ortiz,Howell Group"
Nguyen-Kim,2616047.32,928514.7520791779,"Garcia, Moyer and Adams,Jones-Rios,Reilly LLC"
JACKSON-BERG,3866284.75,585999.035760046,Ibarra Inc
Parker PLC.,2849185.51,375736.3426367221,"Crawford, Fox and Harrington,Meyers, Cameron and Reynolds"
Escobar-Cunningham,3754558.16,1075918.5852014706,"Hill, Russell and Weber"
"Shaw, Clark and Burton",2547516.39,486428.46331412956,Munoz PLC
Martinez-Patel,3290209.09,1308563.7497305633,Tate-Rogers
SIMPSON PLC,2760487.2,572858.9349658312,"Fox-Smith,Robbins-Jenkins,Andrews Ltd"
Anthony-Cox,1267290.49,49059.544455880095,"Quinn, Lewis and Diaz,Woods, Cruz and Lee"
"Walker, Roth and Martinez.",2890598.89,737883.4450925979,"Gill PLC,Leach, Lucas and Rich,Charles Inc"
BROWN INC,263031.27,96940.78188606768,"Flores, Roberts and Espinoza,Mcmahon LLC,Thompson, Mcgee and Ashley"
Gonzalez-Foster,3480308.47,-168385.2972870613,"Allen-Williams,Smith, Arias and Scott"
"MITCHELL, TORRES AND GUZMAN",244703.82,6541.625059464174,"Charles, Jackson and Small"
"Mann, Hickman and Perez",4675164.6,560950.4721628968,"Mullins, Williams and Thomas,Fernandez, Waters and Smith"
"COLEMAN, HORNE AND DAVIS",364477.94,-32271.285058586287,Bender LLC
"Johnson, Patel and Lee",2353685.53,209619.36091212954,"Brennan and Sons,Ramirez, Ayers and Mcdowell,Haley, Roy and Peterson"
Wilson-Griffin,605464.86,177146.36225193334,"Davis, Dunn and Stevens,Sosa PLC"
COOPER LTD,2841770.55,854603.4405542869,Hart-Gonzales
Jones and Sons.,2035255.4,696869.5127974553,"Wilkins-Taylor,Stewart, Gordon and Jordan"
WALSH-VASQUEZ,773328.6,143192.59423913137,"Buchanan Inc,Walter Group"
"Lane, Miller and Hurst.",1509510.44,-123645.70378405579,"Cook-Lopez,Suarez-West"
Contreras-Payne,3589225.87,659615.1573357467,"Ramsey Ltd,Lewis, Powell and Chavez"
"QUINN, CHARLES AND CAMPBELL",2273540.54,-80169.84657219081,James and Sons
Cruz PLC,1484633.39,-39448.154221972654,Sanchez and Sons
"GREEN, MCLEAN AND FLOWERS",765014.84,183289.06482759633,"Wallace-Richardson,Lopez-Franklin,Blackwell-Smith"
Gillespie LLC.,746119.35,14960.469094727485,"Meadows, Mann and Hunt,Terry, Jackson and Dillon"
"COLLINS, PETERSON AND WILSON",1110809.67,199782.23917401757,Bishop Ltd
"MORRIS, KNIGHT AND CHANDLER",1186892.58,27015.20356127881,"Dillon, Davis and Stewart"
"Green, Johnson and Harris.",4243214.05,698012.9536811301,"Porter, Gates and Johnson,Gibbs-Wright"
PATEL LLC,3982369.51,400978.07916940894,"Garcia, Hill and Harper,Heath and Sons,Aguilar-Gordon"
Cooke PLC.,1971207.05,720666.69888072,"Henry, Morris and Marsh,Waller PLC,Holmes-Alexander"
WATERS-PHILLIPS,404602.48,28981.179711507528,"Mccarty-Vaughn,Macias, Ruiz and Martin"
"JAMES, MILLER AND VAUGHN",1666881.7,532378.4972335702,"Howell and Sons,Robinson PLC,Stewart, Mcintosh and Miller"
PEARSON-DOMINGUEZ,3804484.93,753182.5315175448,"Baker, Graves and Reyes,Reynolds-Byrd"
"CAMPBELL, MCKINNEY AND MCCARTHY",2238954.59,-97571.76915033186,Sanders PLC
Arnold PLC,1335818.49,123433.61145683366,"Ayala-Griffin,Herring Inc"
Rowland and Sons,3965266.31,-84434.06250874588,"Gray and Sons,Blackwell, Robinson and Long"
HOGAN-CAMPBELL,3853896.25,50111.197474767396,"Ortiz, Adams and Stein,Becker, Conner and Thompson,Willis, Brewer and Christian"
Chambers Inc,2483455.27,410801.06126633886,"Flores Inc,Herring Ltd"
VALENTINE-AYERS,4080070.94,934216.9182696696,"Newman Ltd,Moore, Fisher and Turner,Deleon and Sons"
Thompson-Ray.,252561.05,37533.10843957342,"Wright Inc,Hale, Wright and Allen,Thompson, Hendricks and Frye"
CRUZ-MCCLURE,1713771.28,464407.9138938622,Stewart LLC
"WILLIAMS, PORTER AND SANTOS",2155573.72,519459.3940166022,"Dudley, Rosario and Davis,Ramirez LLC"
FISHER-ROBERTS,4556023.43,1015322.3446745563,Cline-Pierce
Lopez-Hines.,3248895.02,744460.4101251522,Hernandez LLC
"HENSON, GALLEGOS AND GLOVER",4234942.57,-10867.810795512454,"Potts and Sons,Leblanc-Dennis"
"Burnett, Williams and Padilla",3848504.51,33898.94192969815,"Williams-Wilkerson,Johnson, Jackson and Mills"
SPENCER-MILLER,185060.81,-7252.243511828417,"Andrade, Tapia and Barnes,Williams-Hall"
"ELLIOTT, JONES AND JAMES",3880071.59,-46540.95858264487,"Cervantes LLC,Sullivan and Sons,Huff-Martinez"
Wright Inc.,3922624.23,282368.92487730033,"Medina-Hall,Cook-Nichols,Nelson-Huynh"
Patterson Inc,4548627.54,-117448.74800804263,Lambert Group
"COLEMAN, REED AND TAYLOR",2615840.2,533531.629522787,"Ward, Dougherty and Adams"
LAWSON AND SONS,2139839.18,328760.50959110545,"Duran, Carroll and Morris"
GRIFFIN-HARRELL,4880854.63,-376895.5066478176,Williams and Sons
Davis-Kim,4150526.86,-200.68361062337198,"Pineda, Diaz and Castillo"
MEDINA LLC,507885.64,112955.33071783737,"Russo-Berry,Campbell Inc,Cross-Green"
"Wilson, Mcfarland and Henderson",3533374.03,1349143.7844038664,"Solis, Hall and Martinez,Andrade, Beasley and Weaver"
"CHRISTIAN, GORDON AND PALMER",2018660.67,306.953246545815,"Conner PLC,Bray-Young"
"Grant, Crawford and Morris",4910939.96,1921335.5638162026,Newton-Coleman
GORDON-ROBERSON,3041066.69,81738.25736471187,Collins LLC
MORRIS PLC,4443254.98,1761534.6251375044,"Russell and Sons,Grimes, Torres and Cole"
Randall-Kennedy,4167249.48,907276.2893580997,"Bradford PLC,Noble, Kennedy and Taylor,Fowler LLC"
"Young, Williams and Walker",1365064.55,330123.2570519116,"Rivera Group,Browning, Phillips and Rogers"
MICHAEL-KOCH,2798863.63,146787.07748997572,"Luna, Turner and Elliott"
Fletcher Ltd,1106560.2,102559.75270314804,"Briggs Inc,Bell, Carr and Harrison"
Burch-Figueroa.,1936720.43,110229.3823019226,"James Inc,Jackson-Collier"
"DAVENPORT, CASEY AND GOMEZ",372880.15,-4795.257758178663,"Powell LLC,Bonilla, Holden and Bauer,Morrow PLC"
Ray and Sons.,369384.2,67639.12953068147,"Brown-Baker,Harris-Rhodes,Alvarado-Pearson"
HOLDEN INC,4667392.64,-253616.81979652288,"Guzman-Pugh,Wells-Reed,Williams, Davidson and Franklin"
PETERS-WISE,4026219.19,-281436.49731438013,Orr Ltd
MONTOYA PLC,799895.6,-74026.76517456575,"Young PLC,Obrien, Thomas and Rogers,Willis-Mooney"
Glenn-Hoffman,1544330.18,572020.4895095987,"Edwards-Hudson,Anderson Ltd,Cruz-Lawrence"
Johnson Inc.,2035857.37,372963.6688644584,"French, Dunn and Johnson,Walsh-Blake,Long LLC"
"SMITH, BATES AND KIDD",4467049.85,69963.39018367528,"Wong-Stokes,Salinas, Flores and Wood,Miller, Foster and Mccullough"
THOMPSON INC,3825556.82,498053.5654237694,"Larson, Johnson and Day,Morgan and Sons"
SHARP-WELLS,2728036.16,207899.37285026055,"Rosales-Harris,Mercado, Fischer and Brady,Hines-Rodriguez"
WHITE-LEWIS,3852117.34,248106.5401960615,"Garcia, Best and Parks"
Francis-Odonnell.,916628.13,-34515.99200715563,Brock-White
STEVENS GROUP,127359.7,9495.011814758262,"Lewis-Hernandez,Bowman, Nguyen and Rose"
FIGUEROA GROUP,4609087.49,645129.2306599374,"Sawyer and Sons,Wright-Brown,Scott, Ortiz and Jimenez"
"Lee, Olson and Wyatt.",1984259.68,108327.50992075368,"Yates and Sons,Martin, Olsen and Jones,Patterson, Young and Lewis"
Williams Inc.,4617552.64,1581081.2314172455,"White, White and Garcia"
GOMEZ PLC,3456224.79,-287255.9657686094,"Booker Ltd,Garcia-Cunningham"
WHITE-ODOM,3498167.65,472706.99616443116,Hughes Group
Mckay-Armstrong.,404600.14,138116.71354852052,"Leon, Miranda and Mccarthy,Jones-Calderon,Saunders-Peterson"
"MCDANIEL, PARKER AND BENDER",1612270.14,-121286.75548631113,"Martin Inc,Burns, Sanchez and Martinez"
MARTINEZ PLC,813900.36,86894.22730161427,Carter-Thompson
THOMPSON PLC,1576927.7,70946.67717553879,"Evans Inc,Martin, Ellis and Lee,Gibson, Green and Morgan"
Hernandez Inc.,3290720.94,78999.80687439242,"Fox PLC,Sutton LLC"
"King, Johnston and Larson",3767377.66,79977.77175564374,"Williams-Mitchell,Williams and Sons,Solomon, Diaz and Gutierrez"
HARRIS INC,2878850.38,100240.41947794192,"Welch Group,Carter PLC"
"Byrd, Anderson and Neal",739059.68,-56263.04890208262,"Floyd-Carrillo,Fernandez Inc"
Gonzales Inc,4941752.59,1158860.4003909482,"Johnson, Lawson and Schmidt,Bender, Murillo and Paul,Russell-Edwards"
"BARKER, JOHNSON AND MILLER",49800.74,17286.240806848815,"King-Combs,Hodge-Gould,Obrien-Dickson"
RODRIGUEZ-STEWART,4303502.12,1208603.5349307153,"Fitzpatrick, Miller and Garcia,Smith PLC"
"Thomas, Fernandez and Lozano.",1859014.69,253400.0914629813,"Fischer-Galvan,Hale, Duke and Wade,Ruiz, Thornton and Allen"
ESTRADA INC,1515838.49,277917.61406768695,"Conrad Ltd,Lawrence-Fisher"
Pierce Group,4116572.95,-120543.2477915231,"Haas, Rivas and Davis,Knight Ltd,Griffin PLC"
"STEPHENS, GRANT AND LONG",3671855.92,480041.7989202624,"Avery, Nelson and Thompson,Hodges-Wade"
ZAVALA GROUP,3390928.67,460069.8669994184,Arnold Inc
Morton LLC.,3532023.2,622608.2276266181,"Burns, Ayers and Brown"
KIRK PLC,371670.12,136504.92433747198,"Davenport, Porter and Hall,Green, Kim and Flores,White-Patterson"
TERRY GROUP,4664612.85,1261455.1831839075,Schultz Ltd
BOYD PLC,1332964.43,5273.392962199732,Hernandez PLC
"WILLIAMS, SCOTT AND JACOBSON",2901433.38,441648.4936371581,"Holloway and Sons,Graham, Parker and Garcia,Sanchez Ltd"
PATRICK-GRIFFIN,3768783.56,1430749.5125353744,"Brady, Foster and Arroyo"
ROBERTS INC,2334422.88,-13628.773107513858,"Hurst, Gallegos and Delgado"
"Lowe, Allen and Davis.",4736773.42,-86755.13560506709,"Perez-Peterson,Silva-Pollard,Mitchell, Martinez and Livingston"
SCHULTZ INC,2247793.85,153719.9835313967,"Leon, Daniels and Burch"
Rodriguez Group,56503.19,-5191.464635543971,"Garcia PLC,Lawrence-Smith"
WRIGHT-STEPHENSON,2347545.67,-155265.7156815473,"Holloway, Evans and Turner,Singh-Yates,Winters, Riggs and Edwards"
BROWN-BRYANT,3881769.57,795127.1486310731,"Walters-Ford,Schroeder, Jones and Barker"
RAY-WEST,289689.7,107411.45553309082,Thomas LLC
EVANS-WRIGHT,2443304.87,42742.934754569,"Ferguson, Horton and Logan"
Salazar-Downs.,349825.87,135068.721879719,"Hansen, Benjamin and Williams,Pierce Ltd,Johnson LLC"
JOHNSON-GOMEZ,825398.86,246409.9064984707,"Miller, Thompson and Kennedy,Smith, Moore and Jones"
Mitchell Group.,4582296.2,135048.29503437967,"Jackson-Allen,Knight, Watson and Alvarez,Wong, Smith and Brown"
LEE-CHEN,538295.53,157898.1574765965,"Harris, Decker and Lozano,Mendez, Bennett and Anderson,Griffin-Boyle"
PRINCE LLC,2712703.7,456850.4130146879,"Wilson-Moore,Norton, Adkins and Vargas"
LEON LTD,4362327.13,-296444.1016176746,Reed LLC
Harris-Anderson.,1932534.16,539418.0666652264,"Tyler Ltd,Hernandez-Hoffman"
"Rose, Gibson and Mcgee.",2871283.08,1063076.1616936172,Bauer-Lopez
Gill-Jackson,2659270.1,1018514.092253941,Harper Group
"Fritz, Villarreal and Jones",2277528.88,-171402.55004503622,"Mckee-Strong,Miller-Pratt"
LOPEZ AND SONS,4858405.84,1013586.1788515425,"Johnson, Flores and Mullins,Robinson LLC,Ortiz and Sons"
"Jenkins, Harris and Smith",2475018.82,-33829.1898446025,"Grant, Yang and Cain"
WALTON-STEVENSON,117105.44,38478.21342941797,"Wilson, Schmidt and Kerr"
HARRIS AND SONS,1609308.56,491570.43762026296,"Miller-Montgomery,Smith-Meyer,Jackson PLC"
"PITTS, ALVAREZ AND SMITH",4525169.4,-410610.06184577156,"Ryan Group,Jones Group,Mendoza and Sons"
Clark PLC.,68600.41,9076.689486146262,"Harris, Berry and Carlson"
"WEBER, JONES AND VILLARREAL",2542359.33,189864.49924986306,"White, Preston and Mccoy,Austin and Sons,Daniel and Sons"
"Fletcher, Burke and Norton",1992332.15,432994.3804345262,Long-Harris
"HUDSON, JOHNSON AND HOLDEN",2495060.6,148339.81408004707,Wagner-May
"HARRIS, OSBORN AND LOPEZ",411961.52,41065.86281919282,"Hughes, Ray and Mcdaniel,Valenzuela-James,Padilla Group"
"Leach, Foster and Butler",763037.79,32748.640343551713,Hinton Ltd
"BLAKE, CONTRERAS AND WOOD",1595553.1,444721.20702840394,"Mitchell-Martinez,Clark, Hansen and Nash,Stokes, Foster and Mitchell"
"COX, VANCE AND HENRY",3345191.58,1024237.4828066737,"Higgins and Sons,Willis PLC,Allen, Reed and Brown"
HARDY-NELSON,1682770.25,49817.52526600507,"Davis-Pruitt,Jensen-Brown,Robbins-Moreno"
BELL LTD,3622018.29,41717.13119799298,"Lopez LLC,Baker, Kim and Brown,Williams-Clark"
Nichols and Sons,3524818.67,-75723.81912919844,"Adams, White and Foster,Walsh LLC,Diaz-Guzman"
Miller Group,3559031.7,602057.2021882338,"Medina Group,Smith, Haley and Wagner"
Ali PLC.,4469211.2,-214564.1590927389,"Obrien-Mckay,Smith PLC,Roberts LLC"
"Ho, Moore and Harris",1953422.43,770451.1126155071,Bridges-Wilson
"THOMAS, PHELPS AND KEY",4161222.43,667420.4953398656,"Tanner-Foster,Ellis-Nguyen,Green-Jensen"
Clarke-Butler.,3877603.25,-157523.84167212163,"Hawkins, Davis and Walsh,Johnson-Hoffman"
GREEN LTD,3056469.88,786825.5369962577,"White-Shaw,Leblanc-Burns"
GRIFFIN-GONZALEZ,1535134.99,-104416.93017704602,"Anderson, Fernandez and Lambert,Bean, Robertson and Jones"
HILL-MARTIN,4863175.43,197942.20196113604,"White-Rice,Wise Inc"
Mitchell-Jones,4128657.93,425770.47275330184,"Griffin and Sons,Harrison and Sons,Brooks-Hodges"
Gonzalez-Moreno,3261921.54,511611.62432655616,Hill-Lindsey
PARSONS-GAMBLE,2165635.01,227198.21890822722,"Johnson, Gomez and Williams,Summers-Obrien,Jacobs, Fuller and Mills"
HOLT-BROWN,991575.3,-19190.12921534542,"Newman and Sons,Gutierrez-Richardson"
Pittman PLC,1615609.74,-124068.12243547502,"Anderson, Miller and Sims"
Chase-Roberts,3303323.94,602122.0273982902,"Rhodes, Campbell and Hicks,Carter, Bates and Wilson,Montgomery LLC"
Harris-Reed.,828430.36,106614.28086763233,"Velez, Fitzpatrick and Ball,Ruiz, Jones and Fuller"
"Duran, Stevens and Smith",4411250.52,665220.2470368791,"Watkins Inc,Weber, Garner and Walker"
"Sanchez, Davis and Williams.",893395.32,113852.42247405506,"Moore, Arnold and Black"
Gomez-Yates,4866006.01,-24641.659196163568,"Andrews-Newman,Torres-House,Ward LLC"
FRAZIER-MIRANDA,3047781.26,-153685.35848267644,"Schneider-Stephenson,Curtis, Ramirez and Hurst,Ruiz-Anderson"
HICKS-SALAZAR,3688493.88,974357.9049547338,"Edwards, Christian and Barrera"
"Manning, Wells and Farley",2036242.5,708259.1530978696,"Rodriguez, Gutierrez and Roberts,Williams-Smith"
"JENSEN, MENDEZ AND CHEN",3149456.83,268072.42866064596,"Clark, Robinson and Saunders,Marshall-Phillips,Brown, Young and Weiss"
"Romero, Allen and Lopez",4282939.98,1313189.3473909027,Hodges Inc
Lewis-Smith.,592726.63,212854.3235209061,"Cox-Torres,Ochoa-Simpson,Rice Ltd"
"FINLEY, GREEN AND WILKINSON",2492418.06,666004.3118320326,"Keller, Cohen and Robinson"
Peterson-Thomas.,2673994.23,753691.1663771574,"Moreno LLC,Holt, Jackson and Perez,Gaines-Hardin"
"MOORE, MARTIN AND SAUNDERS",2541076.71,464387.3605327357,Gates LLC
"MORENO, LITTLE AND HENRY",2181425.02,476054.49373914755,"Fields LLC,Taylor Inc"
Johnson-Pitts.,1347904.2,185457.81325289427,"Scott-Rivera,Franklin, Palmer and Ortiz,Newton-Williams"
